Community,Community category,2020 Housing Units,Minimum multi-family unit capacity*,Minimum land area**,Developable station area***,% of district to be located in station area
Abington,Commuter Rail,6811,1021.65,50,306.9374072689713,0.4
Acton,Commuter Rail,9219,1382.85,50,245.6134912989501,0.2
Amesbury,Adjacent community,7889,788.9000000000001,50,0,0
Andover,Commuter Rail,13541,2031.15,50,586.6938344053932,0.5
Arlington,Adjacent community,20461,2046.1,32.43163806576638,57.75294513046251,0
Ashburnham,Adjacent small town,2730,136.5,0,0,0
Ashby,Adjacent small town,1243,62.15000000000001,0,0,0
Ashland,Commuter Rail,7495,1124.25,50,272.0183813386429,0.4
Attleboro,Commuter Rail,19097,2864.55,50,466.7410875036537,0.5
Auburn,Adjacent community,6999,750,50,0,0
Ayer,Commuter Rail,3807,750,50,283.7286204088722,0.4
Bedford,Adjacent community,5444,750,50,0,0
Bellingham,Adjacent community,6749,750,50,0,0
Belmont,Commuter Rail,10882,1632.3,27.95980071779841,508.5531813464136,0.5
Berkley,Adjacent small town,2360,118,0,78.63358184452335,0
Beverly,Commuter Rail,17887,2683.05,50,1435.053510262809,0.9
Billerica,Commuter Rail,15485,2322.75,50,307.5321796486557,0.4
Bourne,Adjacent small town,11140,557,0,0,0
Boxborough,Adjacent small town,2362,118.1,0,0,0
Boxford,Adjacent small town,2818,140.9,0,0,0
Braintree,Rapid Transit,15077,3769.25,50,484.6066006280719,0.5
Bridgewater,Commuter Rail,9342,1401.3,50,181.4810064236029,0.2
Brockton,Commuter Rail,37304,5595.599999999999,50,994.8870392513969,0.9
Brookline,Rapid Transit,27961,6990.25,40.80431377236797,1349.064957226117,0.9
Burlington,Adjacent community,10431,1043.1,50,0,0
Cambridge,Rapid Transit,53907,13476.75,31.73143558902162,1392.227355606497,0.9
Canton,Commuter Rail,9930,1489.5,50,451.0087486830227,0.5
Carlisle,Adjacent small town,1897,94.85000000000001,0,0,0
Carver,Adjacent small town,4701,235.05,0,0,0
Chelmsford,Adjacent community,14769,1476.9,50,0,0
Chelsea,Rapid Transit,14554,3638.5,14.22631245154062,607.8188694207715,0.75
Cohasset,Commuter Rail,3341,637.6637151169664,42.51091434113109,240.944708004356,0.2
Concord,Commuter Rail,7295,1094.25,50,519.4045296347138,0.5
